system_base,approach,precision_at_k,recall_at_k,ndcg_at_k,mrr,diversity,novelty,coverage,serendipity
BERT,div_cluster,0.265,0.12706,0.592656,0.52655,0.9438385923922283,0.036823291803278285,0.0019425019425019,0.002721934552234578
BERT,div_greedy,0.127,0.034959000000000004,0.460666,0.38693399999999994,0.9914951820424137,0.04802582698067548,0.0019425019425019,0.0026372340425531372
BERT,div_semi,0.21100000000000002,0.092804,0.533366,0.486183,0.969656171676666,0.042867992052607475,0.0019425019425019,0.002508598533066565
BERT,normal,0.335,0.177069,0.590534,0.511413,0.9224708476520637,0.036573246717324946,0.0019425019425019,0.002503279384130404
Baseline,div_cluster,0.209,0.08832699999999999,0.462278,0.36456099999999997,0.9515683621940013,0.03731630469379839,0.0019425019425019,0.002903191489361658
Baseline,div_greedy,0.094,0.04550100000000001,0.416739,0.35944400000000004,0.996839989859464,0.03888100570019657,0.0019425019425019,0.0024436170212765377
Baseline,div_semi,0.149,0.08039099999999999,0.427496,0.34740499999999996,0.9793270821007725,0.037737871861298275,0.0019425019425019,0.002680851063829739
Baseline,normal,0.2,0.064361,0.48558,0.396571,0.9410425753550574,0.0383516605941005,0.0019425019425019,0.003055396990140069
LambdaRank,div_cluster,0.11200000000000002,0.04319,0.450188,0.41124299999999997,0.9824428702475143,0.05600158877868685,0.0019425019425019,0.0027617021276595028
LambdaRank,div_greedy,0.08700000000000001,0.038259,0.450603,0.382381,0.9999869281045751,0.04048674117586442,0.0019425019425019,0.002845744680851016
LambdaRank,div_semi,0.09700000000000002,0.042467,0.267098,0.15628,0.979747437136498,0.05127765064836,0.0019425019425019,0.002779787234042504
LambdaRank,normal,0.127,0.052091000000000005,0.35658,0.2339,0.9785778464932232,0.0604203709548734,0.0019425019425019,0.002761702127659525
MFCC bow,div_cluster,0.252,0.11964400000000001,0.503494,0.402926,0.942299092745115,0.037956593092747286,0.0019425019425019,0.0024191489361701677
MFCC bow,div_greedy,0.13,0.035472000000000004,0.500337,0.446606,0.9935637896529101,0.04027850946787102,0.0019425019425019,0.002296808510638248
MFCC bow,div_semi,0.195,0.078859,0.480417,0.415437,0.9713682767402129,0.037138427891104,0.0019425019425019,0.0023223404255318662
MFCC bow,normal,0.284,0.10717,0.528228,0.42814399999999997,0.9277278041951403,0.03751448167604953,0.0019425019425019,0.002390425531914854
ResNet,div_cluster,0.281,0.12479599999999999,0.563739,0.50037,0.9417295776935649,0.03421150058798925,0.0019425019425019,0.002656382978723359
ResNet,div_greedy,0.129,0.031705000000000004,0.44986200000000004,0.38986400000000004,0.9918008882672887,0.03469080293252884,0.0019425019425019,0.0025138297872339937
ResNet,div_semi,0.205,0.081741,0.53972,0.522533,0.9683467199607497,0.0352740864053902,0.0019425019425019,0.002530851063829738
ResNet,normal,0.28800000000000003,0.14202199999999998,0.565593,0.530121,0.9202460854023229,0.03436446081328914,0.0019425019425019,0.002569148936170167
TFIDF,div_cluster,0.22699999999999998,0.108034,0.505626,0.426537,0.9497089998079202,0.03570966675922234,0.0019425019425019,0.002754803352675646
TFIDF,div_greedy,0.11599999999999999,0.056312,0.44514899999999996,0.385088,0.9954185719538025,0.039580381507113016,0.0019425019425019,0.002334763212079564
TFIDF,div_semi,0.182,0.06061,0.48979,0.429255,0.976348662028183,0.037301126784379204,0.0019425019425019,0.0025606382978722903
TFIDF,normal,0.27399999999999997,0.110593,0.52155,0.440942,0.9319108542014773,0.036080697048862145,0.0019425019425019,0.002877659574468045
VGG19,div_cluster,0.255,0.10523500000000001,0.543715,0.46008299999999996,0.9444723326244545,0.03382906352168151,0.0019425019425019,0.002637234042553144
VGG19,div_greedy,0.117,0.050589,0.425,0.37365099999999996,0.992319639686439,0.03729859426822368,0.0019425019425019,0.002603191489361652
VGG19,div_semi,0.196,0.109861,0.552006,0.521724,0.9698518610238226,0.03491386262146911,0.0019425019425019,0.002489361702127606
VGG19,normal,0.287,0.164909,0.5684790000000001,0.526396,0.9225772657315909,0.033315453031910115,0.0019425019425019,0.002643617021276557
