system,global_coverage
Baseline,0.09188034188034189
Baseline_div_semi,0.09168609168609168
MFCC bow,0.09052059052059053
TFIDF,0.08993783993783994
Baseline_div_cluster,0.08877233877233877
TFIDF_div_semi,0.08857808857808858
MFCC bow_div_semi,0.08721833721833722
VGG19,0.08663558663558664
MFCC bow_div_cluster,0.08585858585858586
Baseline_div_greedy,0.08566433566433566
TFIDF_div_cluster,0.08508158508158509
VGG19_div_semi,0.08313908313908314
TFIDF_div_greedy,0.08158508158508158
MFCC bow_div_greedy,0.08100233100233101
VGG19_div_cluster,0.07828282828282829
ResNet,0.07692307692307693
ResNet_div_semi,0.07478632478632478
ResNet_div_cluster,0.07459207459207459
VGG19_div_greedy,0.07226107226107226
ResNet_div_greedy,0.06546231546231546
BERT_div_cluster,0.0644910644910645
BERT,0.0641025641025641
BERT_div_semi,0.05944055944055944
BERT_div_greedy,0.05303030303030303
LambdaRank_div_cluster,0.0027195027195027195
LambdaRank,0.0019425019425019425
LambdaRank_div_greedy,0.0019425019425019425
LambdaRank_div_semi,0.0019425019425019425
